Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
1,Bhî,Tauren,Monk,MRK,Horde,Kazzak,EU,,Windwalker,13586.90
2,Gakr,Blood Elf,Rogue, ,Horde,Illidan,US,,Subtlety,13573.10
3,Sinrogue,Blood Elf,Rogue,Tsu,Horde,Tichondrius,US,,Outlaw,13542.40
4,Yungtortolan,Pandaren,Rogue,Autumn,Horde,Kil'Jaeden,US,,Outlaw,13490.70
5,Коляванклифф,Blood Elf,Rogue,Тайга,Horde,Ясеневый лес,EU,RU,Outlaw,13486.60
6,Syltburken,Void Elf,Rogue,Sick Six Stack,Alliance,Sylvanas,EU,,Subtlety,13469.30
7,Thyminde,Blood Elf,Hunter,This is Fine,Horde,Ragnaros,EU,,Survival,13468.20
8,Cerit,Blood Elf,Monk,Error Code,Horde,Burning Legion,EU,,Windwalker,13464.10
9,Курэм,Void Elf,Rogue,Эксодия,Alliance,Гордунни,EU,RU,Subtlety,13433.10
10,Distorted,Void Elf,Rogue, ,Alliance,Silvermoon,EU,,Outlaw,13430.30
11,Saryero,Undead,Rogue,Severed,Horde,Gorgonnash,EU,DE,Outlaw,13426.90
12,Genj,Blood Elf,Rogue,Blue Label,Horde,Barthilas,OC,,Subtlety,13405.50
13,Jermac,Void Elf,Rogue,Elevenfold,Alliance,Stormrage,US,,Outlaw,13404.90
14,Monkfull,Blood Elf,Monk,Immune,Horde,Sanguino,EU,ES,Windwalker,13403.70
15,Imawizardxd,Troll,Warlock,Error Code,Horde,Burning Legion,EU,,Affliction,13400.80
16,Shánkd,Blood Elf,Rogue,Hoax,Horde,Kazzak,EU,,Subtlety,13398.30
17,Fenkov,Troll,Rogue,Error Code,Horde,Burning Legion,EU,,Outlaw,13381.40
18,Doomstab,Human,Rogue,So Toxic,Alliance,Dun Modr,EU,ES,Subtlety,13378.60
19,Deímas,Troll,Warlock,Bloom,Horde,Draenor,EU,,Affliction,13369.90
20,Deidia,Void Elf,Rogue,Myth,Alliance,Blackmoore,EU,DE,Subtlety,13349.10
21,Danyo,Blood Elf,Rogue, ,Horde,Argent Dawn,US,,Subtlety,13343.30
22,Matawoer,Blood Elf,Rogue,Rise,Horde,Zul'jin,US,,Outlaw,13341.20
23,Эдминяша,Void Elf,Rogue,Там Разберёмся,Alliance,Гордунни,EU,RU,Subtlety,13322.80
24,Envenoms,Undead,Rogue,MRK,Horde,Kazzak,EU,,Outlaw,13302.80
25,Treedyr,Blood Elf,Rogue,Hypocrisy,Horde,Twisting Nether,EU,,Subtlety,13299.80
26,Джераа,Human,Rogue,У беляша,Alliance,Гордунни,EU,RU,Outlaw,13298.10
27,Yani,Blood Elf,Rogue,Naga stole my wife,Horde,Frostwolf,EU,DE,Subtlety,13296.10
28,Viprr,Human,Rogue,Dispøsed,Alliance,Frostmourne,OC,,Outlaw,13292.80
29,Rèdcliffe,Void Elf,Rogue,Nova Gravity,Alliance,Well of Eternity,EU,,Subtlety,13290.60
30,Metzlì,Dwarf,Rogue,Alliance Lives Mat..,Alliance,Zuluhed,US,,Subtlety,13288.10
31,Metzlì,Dwarf,Rogue, ,Alliance,Frostmourne,OC,,Subtlety,13286.50
32,Jenlogx,Blood Elf,Rogue,Ex Elysium,Horde,Kult der Verdammten,EU,DE,Subtlety,13284.60
33,Sìlk,Orc,Rogue,Blacklisted,Horde,Kil'Jaeden,US,,Outlaw,13280.10
34,Boxplox,Pandaren,Rogue,Ctrl Alt Elitè,Horde,Barthilas,OC,,Subtlety,13278.60
35,Dizpy,Blood Elf,Rogue, ,Horde,Blackrock,EU,DE,Subtlety,13269.60
36,Stix,Blood Elf,Rogue,Overcoming,Horde,Azralon,US,BR,Subtlety,13268.10
37,Nvrwastaken,Blood Elf,Rogue,Synthesis,Horde,Turalyon,US,,Subtlety,13258.10
38,Chpz,Void Elf,Rogue,La Communauté de S..,Alliance,Hyjal,EU,FR,Subtlety,13257.50
39,Roguehowl,Blood Elf,Rogue,Sundering,Horde,Sanguino,EU,ES,Subtlety,13255.40
40,Daggz,Blood Elf,Rogue,Melee Mechanics,Horde,Illidan,US,,Subtlety,13253.50
41,Cya,Blood Elf,Rogue,Shattrath Island,Horde,Eredar,EU,DE,Subtlety,13252.30
42,Méa,Blood Elf,Rogue,Epoch,Horde,Ragnaros,EU,,Subtlety,13249.70
43,Nerucx,Human,Rogue,Disarray,Alliance,Ravencrest,EU,,Subtlety,13246.90
44,Кройфель,Blood Elf,Rogue,Зайцы,Horde,Ревущий фьорд,EU,RU,Outlaw,13246.20
45,Dawnsx,Blood Elf,Rogue,Ascended,Horde,Illidan,US,,Subtlety,13242.50
46,Omr,Blood Elf,Rogue,Oblivion,Horde,Bleeding Hollow,US,,Subtlety,13240.20
47,Malf,Goblin,Rogue,Vengeance,Horde,Ragnaros,EU,,Outlaw,13237.90
48,Whereismatt,Blood Elf,Rogue,Sundering,Horde,Zul'jin,EU,ES,Outlaw,13236.60
49,Kusûnagi,Void Elf,Rogue,peonpointcom,Alliance,Hyjal,EU,FR,Subtlety,13229.90
50,Insomniaxd,Blood Elf,Rogue,Gronks,Horde,Barthilas,OC,,Subtlety,13229.80
51,Massivz,Blood Elf,Rogue,Waít for it,Horde,Ysondre,EU,FR,Subtlety,13227.40
52,Lewingdon,Undead,Rogue,The Next Step,Horde,Twisting Nether,EU,,Subtlety,13226.70
53,Princæss,Night Elf,Rogue,The Inner Circle,Alliance,The Maelstrom,EU,,Subtlety,13226.50
54,Squidrunner,Void Elf,Rogue,Memento Mori,Alliance,Windrunner,US,,Subtlety,13221.80
55,Nihilan,Void Elf,Rogue,Heroes of Fight Club,Alliance,Sargeras,US,,Subtlety,13221.30
56,Atobuh,Blood Elf,Rogue,NO CHANGES,Horde,Mal'Ganis,US,,Subtlety,13216.80
57,Silentveil,Void Elf,Rogue,Game Over,Alliance,Proudmoore,US,,Subtlety,13216.40
58,Alzurax,Blood Elf,Rogue,Evil Awareness,Horde,Malfurion,EU,DE,Subtlety,13216.30
59,Faleene,Human,Rogue, ,Alliance,Kel'Thuzad,US,,Subtlety,13203.50
60,Onyahard,Blood Elf,Rogue,Vengeance,Horde,Ragnaros,EU,,Subtlety,13202.30
61,Ghosudaz,Undead,Rogue,Witness,Horde,Draenor,EU,,Subtlety,13201.30
62,Accardi,Blood Elf,Rogue,provide,Horde,Blackrock,EU,DE,Outlaw,13194.50
63,Cupric,Undead,Rogue,Dont Die,Horde,Zul'jin,US,,Subtlety,13191.30
64,Солбер,Blood Elf,Rogue,Рассвет,Horde,Ясеневый лес,EU,RU,Outlaw,13190.40
65,Snakemen,Void Elf,Rogue,Eldritch,Alliance,Silvermoon,EU,,Subtlety,13188.10
66,Ookiedookie,Human,Rogue, ,Alliance,Kel'Thuzad,US,,Outlaw,13186.50
67,Visperax,Human,Rogue,Potential,Alliance,Ravencrest,EU,,Subtlety,13184.40
68,Sidney,Blood Elf,Rogue,Animus,Horde,Thaurissan,OC,,Subtlety,13182.60
69,Rãzxd,Night Elf,Rogue,Depthcore,Alliance,Ravencrest,EU,,Subtlety,13182.40
70,Vyo,Blood Elf,Rogue,PathFinders,Horde,Burning Legion,EU,,Subtlety,13180.50
71,Ezpi,Blood Elf,Rogue,Greggs,Horde,Draenor,EU,,Outlaw,13179.80
72,Lolae,Void Elf,Rogue,Rampage,Alliance,Dalaran,EU,FR,Subtlety,13179.70
73,Dakmoor,Orc,Rogue,Luna Wolves,Horde,Kazzak,EU,,Outlaw,13171.90
74,Evnzrog,Blood Elf,Rogue,Pieces,Horde,Draenor,EU,,Outlaw,13169.40
75,Vèlvet,Blood Elf,Rogue,Ex Deus,Horde,Ragnaros,EU,,Subtlety,13167.40
76,Kokushi,Blood Elf,Rogue,Bloom,Horde,Draenor,EU,,Subtlety,13159.30
77,Statice,Human,Rogue,Equilibrium,Alliance,Conseil des Ombres,EU,FR,Subtlety,13156.50
78,Morîo,Void Elf,Rogue,Myth,Alliance,Blackmoore,EU,DE,Subtlety,13155.20
79,Aydey,Blood Elf,Monk,Arathian Knights,Horde,Hyjal,US,,Windwalker,13153.60
80,Луну,Void Elf,Rogue,Аструм,Alliance,Гордунни,EU,RU,Outlaw,13148.60
81,Sanojlol,Blood Elf,Rogue,VAC,Horde,Tarren Mill,EU,,Subtlety,13147.20
82,Shadowmaster,Blood Elf,Rogue,Resonate,Horde,Bleeding Hollow,US,,Outlaw,13145.60
83,Celasi,Blood Elf,Rogue,Innominatum,Horde,Twisting Nether,EU,,Subtlety,13144.30
84,Chrylm,Blood Elf,Rogue,Hoax,Horde,Kazzak,EU,,Subtlety,13143.80
85,Сослик,Pandaren,Rogue, ,,Азурегос,EU,RU,Subtlety,13142.10
86,Kungpowa,Human,Monk,Dominion,Alliance,Stormrage,US,,Windwalker,13141.70
87,Lakraki,Blood Elf,Rogue,Divergent,Horde,Tarren Mill,EU,,Subtlety,13140.10
88,Pillier,Blood Elf,Rogue,Raiding Rainbows,Horde,Illidan,US,,Subtlety,13139.70
89,Tekagi,Blood Elf,Rogue,Accession,Horde,Mal'Ganis,US,,Outlaw,13139.50
90,Schyro,Troll,Warlock,New Age,Horde,Hyjal,EU,FR,Affliction,13135.50
91,Xiry,Void Elf,Rogue,Quelm,Alliance,Nagrand,EU,,Subtlety,13133.80
92,Hiddenzera,Blood Elf,Rogue,Spectrum,Horde,Azralon,US,BR,Subtlety,13133.70
93,Praíi,Undead,Rogue,Feel the Difference,Horde,Blackmoore,EU,DE,Subtlety,13132.50
94,Shadowdager,Night Elf,Rogue,No Hard Feelings,Alliance,Silvermoon,EU,,Subtlety,13132.40
95,Rânax,Void Elf,Rogue,Die VII Legion,Alliance,Die Aldor,EU,DE,Subtlety,13132.20
96,Schmakh,Orc,Rogue,Medicide,Horde,Frostwolf,EU,DE,Subtlety,13131.80
97,Dara,Void Elf,Rogue,NerdzZ,Alliance,Madmortem,EU,DE,Outlaw,13130.20
98,Рентабельная,Void Elf,Rogue,Объятие света,Alliance,Дракономор,EU,RU,Subtlety,13128.50
99,Bóbô,Blood Elf,Rogue,Inner Fury,Horde,Twisting Nether,EU,,Subtlety,13125.30
100,Roguepizza,Blood Elf,Rogue,Eternity,Horde,Dark Iron,US,,Subtlety,13124.80
101,Srihead,Blood Elf,Monk,Paradigm,Horde,Draenor,EU,,Windwalker,13121.60
102,Waffle,Goblin,Rogue,Flames of Salvation,Horde,Steamwheedle Cartel,US,,Subtlety,13120.80
103,Paradiseone,Human,Hunter,Dinner Time,Alliance,Stormrage,US,,Survival,13119.40
104,Nanashí,Blood Elf,Rogue,Carnage,Horde,Twisting Nether,EU,,Subtlety,13119.20
105,Hel,Blood Elf,Rogue,Bínary,Horde,Area 52,US,,Outlaw,13118.60
106,Shub,Blood Elf,Rogue,EnRaGe,Horde,Nemesis,EU,,Outlaw,13117.40
107,Actualautist,Blood Elf,Rogue,PMA,Horde,Tarren Mill,EU,,Subtlety,13116.40
108,Stealthsham,Pandaren,Rogue,G I T G U D,Horde,Barthilas,OC,,Outlaw,13115.60
109,Cerasi,Blood Elf,Rogue,Työmaa,Horde,Stormreaver,EU,,Subtlety,13114.10
110,Zhaax,Pandaren,Rogue,Back to Business,Horde,Cho'gall,EU,FR,Subtlety,13113.20
111,Rezkin,Undead,Rogue,BANGARANG,Horde,Burning Blade,US,,Outlaw,13112.90
112,Aloy,Blood Elf,Rogue,Disciples of Grey,Horde,Kilrogg,US,,Outlaw,13111.70
113,Nelyel,Blood Elf,Rogue,Pulse,Horde,Kult der Verdammten,EU,DE,Subtlety,13109.20
114,Valiroje,Human,Rogue,Almighty Sisters,Alliance,Grim Batol,EU,,Subtlety,13108.30
115,Sák,Void Elf,Rogue,Ineffable,Alliance,Turalyon,EU,,Subtlety,13108.20
116,Исами,Undead,Rogue,Мисклик,Horde,Ревущий фьорд,EU,RU,Subtlety,13106.30
117,Famxx,Void Elf,Rogue,Club Camel,Alliance,Stormrage,US,,Subtlety,13105.30
118,Jjq,Tauren,Monk, ,Horde,Kazzak,EU,,Windwalker,13100.80
119,Lemonjooce,Orc,Rogue,Acheron,Horde,Tarren Mill,EU,,Subtlety,13100.60
120,Няшныйтрапик,Void Elf,Rogue,Один раз не Кул Ти..,Alliance,Гордунни,EU,RU,Outlaw,13099.90
121,Взлик,Undead,Rogue,Жнецы Душ,Horde,Ясеневый лес,EU,RU,Subtlety,13099.20
122,Krews,Blood Elf,Rogue,High Five,Horde,Area 52,US,,Subtlety,13099.10
123,Xøxo,Void Elf,Rogue,Rising Storm,Alliance,Dalaran,EU,FR,Subtlety,13096.50
124,Raizz,Undead,Rogue,Cult of the Doomed,Horde,Emeriss,EU,,Subtlety,13095.70
125,Jerian,Night Elf,Rogue,Red Suns,Alliance,Thunderhorn,EU,,Subtlety,13095.60
126,Fygger,Blood Elf,Rogue,IMPROVE,Horde,Ragnaros,EU,,Outlaw,13094.80
127,Unrest,Human,Rogue,Tiger Rebels,Alliance,Antonidas,EU,DE,Outlaw,13094.40
128,Cenyikes,Orc,Hunter,Toast,Horde,Area 52,US,,Survival,13093.80
129,Näeh,Human,Rogue,Nouvel Ordre,Alliance,Confrérie du Thorium,EU,FR,Subtlety,13093.20
130,Jilted,Night Elf,Rogue,Ineffable,Alliance,Turalyon,EU,,Subtlety,13091.30
131,Ninee,Pandaren,Rogue,Synthesize,Horde,Turalyon,US,,Subtlety,13091.20
132,Mintyrg,Night Elf,Rogue,Menethil Yacht Club,Alliance,Argent Dawn,EU,,Subtlety,13087.30
133,Shàdowblade,Void Elf,Rogue,Cute Anime Girls,Alliance,Frostmourne,OC,,Outlaw,13086.90
134,Bullsquid,Human,Rogue,ChuckleVision,Alliance,Lightbringer,EU,,Outlaw,13086.30
135,Soaks,Night Elf,Rogue,Formality,Alliance,Proudmoore,US,,Subtlety,13083.80
136,Cyanídé,Orc,Rogue,The Early Shift,Horde,Bleeding Hollow,US,,Subtlety,13082.80
137,Zäärg,Dwarf,Rogue,Faíthless,Alliance,Archimonde,EU,FR,Outlaw,13081.80
138,Araatax,Blood Elf,Rogue,Legacy Reborn,Horde,Area 52,US,,Subtlety,13081.50
139,Sléffmann,Blood Elf,Rogue,Det Bare Banter,Horde,Tarren Mill,EU,,Outlaw,13080.50
140,Анансий,Blood Elf,Rogue,А мне по БЛу,Horde,Ревущий фьорд,EU,RU,Outlaw,13077.50
141,Shomee,Blood Elf,Rogue,Zanity,Horde,Tarren Mill,EU,,Subtlety,13073.10
142,Kenschu,Troll,Rogue,Store More,Horde,Eredar,EU,DE,Outlaw,13072.40
143,Effz,Blood Elf,Rogue,Brain on GCD,Horde,Kil'Jaeden,US,,Outlaw,13072.40
144,Zytax,Blood Elf,Rogue,Medieval,Horde,Illidan,US,,Subtlety,13072.20
145,ßandit,Undead,Rogue,WipeClub,Horde,Twilight's Hammer,EU,,Subtlety,13071.50
146,Thegirth,Orc,Rogue,Eternal Vindication,Horde,Illidan,US,,Outlaw,13068.60
147,Sylera,Blood Elf,Rogue,Shh Calm Down,Horde,Mal'Ganis,US,,Outlaw,13065.90
148,Eruedraith,Blood Elf,Rogue,Dont Release,Horde,Firetree,US,,Outlaw,13065.80
149,Jny,Blood Elf,Monk,Familiar with Drama,Horde,Twisting Nether,EU,,Windwalker,13063.10
150,Feron,Undead,Monk,Saunan Taakse,Horde,Stormreaver,EU,,Windwalker,13060.90
151,Pxxl,Undead,Rogue,Ex Deus,Horde,Ragnaros,EU,,Outlaw,13060.40
152,Oceanography,Void Elf,Rogue,Disdain,Alliance,Draenor,US,,Subtlety,13058.10
153,Dacoroque,Blood Elf,Rogue,lemon,Horde,Eredar,EU,DE,Subtlety,13057.90
154,Семпл,Human,Rogue,АСПИДИС ПАЩАДИ,Alliance,Гордунни,EU,RU,Outlaw,13056.40
155,Azatsü,Blood Elf,Rogue,L Art de la Guerre,Horde,Sargeras,EU,FR,Subtlety,13055.80
156,Imogine,Human,Rogue,The Dragon Order,Alliance,Thunderhorn,EU,,Outlaw,13055.80
157,Orangeé,Pandaren,Monk,Arc,Horde,Draenor,EU,,Windwalker,13054.80
158,Wenoxer,Blood Elf,Rogue,Error Code,Horde,Burning Legion,EU,,Outlaw,13053.50
159,Normìe,Blood Elf,Rogue,Raiding Rainbows,Horde,Illidan,US,,Outlaw,13051.50
160,Feyo,Undead,Rogue,The Brigade,Horde,The Maelstrom,EU,,Subtlety,13051.20
161,Beyonce,Undead,Rogue,Samhällets Bottens..,Horde,Twisting Nether,EU,,Subtlety,13049.70
162,Сюрпрайс,Gnome,Rogue,Олд Скул,Alliance,Борейская тундра,EU,RU,Subtlety,13048.60
163,Prestoki,Void Elf,Rogue,No Hope For Humanity,Alliance,Frostmourne,OC,,Subtlety,13048.50
164,Heypapito,Goblin,Rogue,Hold My Flask,Horde,Tichondrius,US,,Outlaw,13048.40
165,Mahá,Goblin,Rogue,Lost Society,Horde,Frostwolf,EU,DE,Subtlety,13047.90
166,Shizan,Human,Monk,ShapeShift,Alliance,Silvermoon,EU,,Windwalker,13047.60
167,Easy,Human,Rogue,Gesangsverein Gold..,Alliance,Die Aldor,EU,DE,Subtlety,13046.50
168,Shiphi,Blood Elf,Rogue,Reload,Horde,Sanguino,EU,ES,Subtlety,13044.80
169,Jhrock,Blood Elf,Rogue,Catalysts,Horde,Mal'Ganis,US,,Outlaw,13043.40
170,Completed,Night Elf,Rogue,Chaotic Serenity,Alliance,Frostmourne,OC,,Subtlety,13041.90
171,Radichi,Blood Elf,Monk,G I T G U D,Horde,Barthilas,OC,,Windwalker,13041.50
172,Saltunter,Human,Hunter,The Inner Circle,Alliance,The Maelstrom,EU,,Survival,13041.20
173,Enniana,Blood Elf,Rogue,Prôphêcy,Horde,Eredar,EU,DE,Subtlety,13039.60
174,Эддя,Night Elf,Rogue,МЕТЕЛИЦА,Alliance,Гордунни,EU,RU,Subtlety,13038.50
175,Deus,Tauren,Monk,Virtual,Horde,Twisting Nether,EU,,Windwalker,13037.50
176,Punchyface,Dwarf,Monk,Tune Up,Alliance,Auchindoun,EU,,Windwalker,13036.60
177,Chechaw,Orc,Rogue,Tinder,Horde,Emerald Dream,US,,Outlaw,13036.40
178,Cjei,Blood Elf,Rogue,Synergy,Horde,Bleeding Hollow,US,,Subtlety,13035.90
179,Monnistab,Blood Elf,Rogue,Korruptio,Horde,Stormreaver,EU,,Subtlety,13035.80
180,Naratox,Blood Elf,Rogue,Eat Me,Horde,Thrall,EU,DE,Subtlety,13034.80
181,Frannus,Blood Elf,Rogue,Amused to Death,Horde,Defias Brotherhood,EU,,Subtlety,13034.60
182,Yarrgi,Orc,Hunter,Error Code,Horde,Burning Legion,EU,,Survival,13033.50
183,Divyara,Blood Elf,Monk,K o R,Horde,Malfurion,EU,DE,Windwalker,13032.70
184,Weedfists,Blood Elf,Monk,Might,Horde,Zul'jin,US,,Windwalker,13032.20
185,Zeo,Human,Rogue,Crimson,Alliance,Nagrand,OC,,Subtlety,13031.70
186,Rents,Pandaren,Rogue,Something Wrong,Horde,Stormscale,EU,,Subtlety,13030.40
187,Gerárd,Blood Elf,Rogue,Way to Toxic,Horde,Burning Legion,EU,,Outlaw,13029.80
188,Depters,Void Elf,Rogue,Get Well Soon,Alliance,Sargeras,US,,Subtlety,13028.50
189,Quietstep,Blood Elf,Rogue,BURN,Horde,Azralon,US,BR,Subtlety,13028.30
190,Дрейзх,Void Elf,Rogue,Нэйчерал Селекшн,Alliance,Гордунни,EU,RU,Subtlety,13027.30
191,Cypheo,Orc,Rogue,The Dragonfell Tribe,Horde,Kazzak,EU,,Subtlety,13026.90
192,Kushr,Undead,Rogue,Future,Horde,Twisting Nether,EU,,Subtlety,13026.70
193,Skelmz,Undead,Rogue,Substance,Horde,Draenor,EU,,Outlaw,13026.20
194,Feyo,Undead,Rogue,Feyo,Horde,Magtheridon,EU,,Subtlety,13024.50
195,Killingspee,Orc,Rogue,A Guild Has No Name,Horde,Hyjal,US,,Subtlety,13023.30
196,Kosoku,Blood Elf,Rogue, ,Horde,Stormscale,EU,,Subtlety,13022.50
197,Foulïane,Blood Elf,Rogue,Chicken Kiss,Horde,Ysondre,EU,FR,Outlaw,13022.30
198,Кэйдрин,Blood Elf,Rogue,Девять,Horde,Ревущий фьорд,EU,RU,Subtlety,13022.10
199,Fitme,Dwarf,Rogue,One,Alliance,Frostmourne,OC,,Outlaw,13021.50
200,Grolix,Gnome,Rogue,Dinner Time,Alliance,Stormrage,US,,Outlaw,13020.70
201,Darthmahlerr,Blood Elf,Rogue,Pickle Palace,Horde,Illidan,US,,Subtlety,13020.60
202,Youngin,Blood Elf,Rogue,Vibe,Horde,Blackmoore,EU,DE,Outlaw,13018.70
203,Хаоко,Blood Elf,Rogue,Бегущие по Лезвию,Horde,Ревущий фьорд,EU,RU,Outlaw,13017.10
204,Jackychounx,Blood Elf,Rogue,Slow Motion,Horde,Ysondre,EU,FR,Subtlety,13016.80
205,Nox,Blood Elf,Rogue,Empîre,Horde,Temple noir,EU,FR,Subtlety,13015.50
206,Orckefeller,Orc,Rogue,Convoluted,Horde,Illidan,US,,Subtlety,13013.30
207,Rammonk,Blood Elf,Monk,vodkaz,Horde,Zul'jin,US,,Windwalker,13013.10
208,Blackshark,Void Elf,Rogue,Finally,Alliance,Arthas,EU,DE,Outlaw,13012.20
209,Mcmuffin,Blood Elf,Rogue,Roadrunners,Horde,Kil'Jaeden,US,,Outlaw,13012.20
210,Ivaz,Human,Rogue, ,Alliance,Grim Batol,EU,,Subtlety,13011.90
211,Gibd,Human,Rogue,Apathy,Alliance,Gilneas,US,,Outlaw,13011.40
212,Cloud,Blood Elf,Monk,Disposition,Horde,Stormscale,EU,,Windwalker,13011.30
213,Smugwendy,Undead,Rogue,AnarChronos,Horde,Wyrmrest Accord,US,,Outlaw,13011.30
214,Zenxo,Undead,Rogue,The Spice Boys,Horde,Thrall,US,,Outlaw,13009.70
215,Phakeout,Blood Elf,Rogue,Plummit,Horde,Illidan,US,,Outlaw,13006.50
216,Schteiin,Troll,Warlock,Fat Ducks,Horde,Hyjal,EU,FR,Affliction,13006.40
217,Lazormnzxxtv,Undead,Rogue,Antisocial,Horde,Draenor,EU,,Subtlety,13004.70
218,Verrug,Human,Rogue,Triggered,Alliance,Argent Dawn,EU,,Subtlety,13002.60
219,Slasharama,Blood Elf,Rogue,HC,Horde,Burning Legion,US,,Subtlety,13002.40
220,Æscy,Blood Elf,Rogue,NonSense,Horde,Blackrock,EU,DE,Outlaw,13001.50
221,Wutack,Blood Elf,Rogue, ,Horde,Ragnaros,EU,,Outlaw,13001.10
222,Beamlot,Blood Elf,Rogue,Broken Mind,Horde,Azshara,EU,DE,Subtlety,13000.80
223,Amrogue,Undead,Rogue,Nascent,Horde,Emerald Dream,US,,Subtlety,12999.10
224,Tihai,Blood Elf,Monk,HTF,Horde,Ragnaros,US,,Windwalker,12998.50
225,Gothgfgodx,Blood Elf,Rogue,Scuffed,Horde,Twisting Nether,EU,,Subtlety,12997.80
226,Texasyeehaw,Blood Elf,Rogue,Wing Night,Horde,Uldaman,US,,Subtlety,12997.30
227,Prevail,Blood Elf,Rogue,Fragment,Horde,Stormscale,EU,,Subtlety,12996.40
228,Gladrien,Troll,Mage,Unic,Horde,Gorgonnash,EU,DE,Arcane,12996.10
229,Padok,Orc,Monk,Rito and Friends,Horde,Barthilas,OC,,Windwalker,12995.50
230,Инсрог,Void Elf,Rogue,Тренировка Иссохших,Alliance,Черный Шрам,EU,RU,Subtlety,12995.20
231,Ikeg,Blood Elf,Monk,OpenSource,Horde,Dragonmaw,US,,Windwalker,12994.10
232,Сатинари,Human,Rogue,Последний Оплот Св..,Alliance,Гордунни,EU,RU,Subtlety,12993.50
233,Navs,Blood Elf,Rogue,Nascent,Horde,Emerald Dream,US,,Outlaw,12992.60
234,Kesmet,Blood Elf,Monk,Guiles Theme Song,Horde,Mal'Ganis,US,,Windwalker,12991.70
235,Seldom,Blood Elf,Rogue,Naga stole my wife,Horde,Frostwolf,EU,DE,Subtlety,12991.20
236,Sathrovarr,Human,Rogue,Vindicatum,Alliance,Icecrown,US,,Subtlety,12991.10
237,Cynthería,Orc,Rogue,Dedicated Casuals,Horde,Eredar,EU,DE,Subtlety,12990.70
238,Auggi,Dwarf,Monk,haHAA,Alliance,Sargeras,US,,Windwalker,12989.20
239,Starup,Void Elf,Rogue,Balanced,Alliance,Silvermoon,EU,,Subtlety,12988.40
240,Пушистыйхосе,Undead,Rogue,Алл Старс,Horde,Свежеватель Душ,EU,RU,Outlaw,12986.40
241,Dheaf,Gnome,Hunter,Deus Ex,Alliance,Frostmane,EU,,Survival,12986.40
242,Despacitotoo,Pandaren,Rogue, ,,Stormrage,US,,Outlaw,12985.70
243,Cúll,Human,Rogue,Avenger,Alliance,Frostmourne,OC,,Outlaw,12984.30
244,Lymys,Blood Elf,Rogue,Raukka Painaa Jarrua,Horde,Frostwhisper,EU,,Subtlety,12982.90
245,Gehå,Human,Rogue,Tribe of Protagoni..,Alliance,Frostmane,EU,,Subtlety,12982.40
246,Dizzyblade,Void Elf,Rogue,aggressive,Alliance,Blackmoore,EU,DE,Subtlety,12981.40
247,Jouric,Blood Elf,Rogue,Epilogue,Horde,Kazzak,EU,,Subtlety,12981.40
248,Vynariian,Blood Elf,Rogue,Money Sink,Horde,Tichondrius,US,,Outlaw,12980.60
249,Zâz,Night Elf,Rogue,Listen,Alliance,Frostmourne,OC,,Subtlety,12978.90
250,Suaréz,Blood Elf,Rogue,Faithlèss,Horde,Kazzak,EU,,Outlaw,12978.50
251,Okire,Blood Elf,Rogue,Quenya,Horde,Burning Legion,EU,,Subtlety,12977.90
252,Shaydd,Orc,Rogue,Vigil,Horde,Zul'jin,US,,Subtlety,12977.70
253,Skeith,Blood Elf,Rogue,Addiction,Horde,Bleeding Hollow,US,,Subtlety,12977.30
254,Nimblydimbly,Undead,Rogue,Full Throttle,Horde,Ragnaros,EU,,Outlaw,12976.10
255,Makswell,Pandaren,Rogue,Late Night Shenani..,Horde,Thrall,US,,Subtlety,12974.70
256,Zehiraxd,Blood Elf,Rogue,Operation Endeavor,Horde,Kazzak,EU,,Subtlety,12973.30
257,Shinnera,Blood Elf,Rogue,Slack N Die,Horde,Blackmoore,EU,DE,Subtlety,12970.60
258,Nilia,Void Elf,Rogue,Wisp,Alliance,Hyjal,EU,FR,Subtlety,12970.10
259,Daggyz,Night Elf,Rogue,Vindicatum,Alliance,Icecrown,US,,Subtlety,12970.10
260,Rank,Blood Elf,Rogue,What A Gamer,Horde,Illidan,US,,Outlaw,12969.90
261,Soulshard,Troll,Warlock,Alive INC,Horde,Blackhand,EU,DE,Affliction,12969.80
262,Zellukk,Blood Elf,Rogue,Kipinä,Horde,Twisting Nether,EU,,Subtlety,12968.60
263,Djargo,Nightborne,Rogue,Inner Fury,Horde,Twisting Nether,EU,,Subtlety,12968.40
264,Preferr,Human,Rogue,Spinning Coin,Alliance,Ravencrest,EU,,Subtlety,12966.60
265,Stunbot,Orc,Rogue,meh,Horde,Nemesis,EU,,Outlaw,12966.30
266,Frydryce,Orc,Monk,Prevenge,Horde,Laughing Skull,US,,Windwalker,12964.10
267,Idorae,Blood Elf,Rogue,AnarChronos,Horde,Wyrmrest Accord,US,,Subtlety,12962.30
268,Hoobashank,Orc,Rogue,Bloom,Horde,Draenor,EU,,Subtlety,12962.20
269,Fitokey,Blood Elf,Rogue,Reload,Horde,Sanguino,EU,ES,Subtlety,12961.90
270,Lunaqt,Void Elf,Rogue,Ultra Instinct,Alliance,Dalaran,US,,Subtlety,12961.60
271,Блэккджек,Blood Elf,Rogue,Инсэйн,Horde,Ревущий фьорд,EU,RU,Outlaw,12961.20
272,Summerisles,Blood Elf,Rogue,Ðissuasiøn,Horde,Hyjal,EU,FR,Outlaw,12959.80
