Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
673,Илема,Blood Elf,Rogue,Синергетика,Horde,Ревущий фьорд,EU,RU,Subtlety,12679.70
674,Viancri,Blood Elf,Rogue,Tilted,Horde,Laughing Skull,US,,Subtlety,12679.60
675,Katanja,Blood Elf,Rogue,Pepino de guild,Horde,Zul'jin,EU,ES,Outlaw,12679.40
676,Grimmicerate,Mag'Har Orc,Rogue,globa,Alliance,Thrall,EU,DE,Outlaw,12678.70
677,Izyro,Blood Elf,Hunter,Nothing Personal,Horde,Burning Legion,EU,,Havoc,12678.30
678,Vectamxd,Void Elf,Monk,Stormwind Fried Ch..,Alliance,Ravencrest,EU,,Windwalker,12678.30
679,Excisio,Human,Rogue,Foundation,Alliance,Magtheridon,EU,,Subtlety,12677.80
680,Spatulahands,Orc,Rogue,Strawberry Puppy K..,Horde,Area 52,US,,Subtlety,12676.40
681,Irosqt,Undead,Rogue,Embody,Horde,Drak'thul,EU,,Outlaw,12674.80
682,Ivaxia,Troll,Mage,Feel BeLoved,Horde,Blackmoore,EU,DE,Arcane,12674.80
683,Yuë,Blood Elf,Rogue,This Game is SO Hard,Horde,Illidan,US,,Outlaw,12674.50
684,Holyenixx,Blood Elf,Rogue,Salty,Horde,Eredar,EU,DE,Outlaw,12674.30
685,Juicymilkdud,Troll,Rogue,Meme Regime,Horde,Mal'Ganis,US,,Subtlety,12673.70
686,Hötsii,Human,Rogue,Beyond Harmless,Alliance,Sylvanas,EU,,Subtlety,12673.60
687,Deages,Blood Elf,Rogue,Onineko,Horde,Barthilas,OC,,Outlaw,12672.40
688,Lexine,Human,Rogue,K o K,Alliance,Drak'thul,EU,,Subtlety,12671.50
689,Gorestalker,Mag'Har Orc,Hunter,Dedicated Casuals,Alliance,Eredar,EU,DE,Survival,12671.30
690,Furystab,Goblin,Rogue,Discord,Horde,Archimonde,US,,Outlaw,12671.10
690,Sneakdum,Void Elf,Rogue,Whatever,Alliance,Auchindoun,EU,,Subtlety,12671.10
692,Craithez,Undead,Rogue,Smoke and Madness,Horde,Die Aldor,EU,DE,Subtlety,12670.90
693,Xirîska,Undead,Rogue,Bad Luck,Horde,Burning Blade,EU,,Outlaw,12670.70
694,Yggralith,Blood Elf,Hunter,SinForsaken,Horde,Area 52,US,,Havoc,12670.60
695,Velorian,Blood Elf,Rogue,Stress Test,Horde,Twisting Nether,EU,,Outlaw,12670.50
696,Fulgstab,Human,Rogue,Static,Alliance,Stormrage,US,,Outlaw,12670.40
697,Illusionaire,Blood Elf,Rogue,Conviction,Horde,Dath'Remar,OC,,Outlaw,12670.20
698,Boirä,Goblin,Rogue,Forsaken Dreams,Horde,Uldum,EU,ES,Outlaw,12669.80
699,Вевиана,Night Elf,Rogue,Инфинити,Alliance,Галакронд,EU,RU,Outlaw,12669.50
700,Sneakybum,Blood Elf,Rogue,Deliverance,Horde,Stormreaver,EU,,Subtlety,12669.30
701,Aphrine,Blood Elf,Rogue,Déjà pris,Horde,Ysondre,EU,FR,Subtlety,12668.80
702,Bc,Void Elf,Monk,Sinergy,Alliance,Quel'Thalas,US,,Windwalker,12667.70
703,Bummels,Blood Elf,Rogue,Northwind,Horde,Mannoroth,EU,DE,Subtlety,12667.60
704,Tigerbløød,Night Elf,Rogue,Sanity,Alliance,Moon Guard,US,,Subtlety,12666.30
705,Manpickles,Blood Elf,Rogue,Kronos,Horde,Garrosh,US,,Outlaw,12666.20
706,Kunoii,Human,Rogue,Eternal Kingdom,Alliance,Proudmoore,US,,Subtlety,12666.10
707,Bonezy,Blood Elf,Rogue,Walkthrough,Horde,Kazzak,EU,,Subtlety,12665.70
